Etapa	Vertical	Hora	Trajeto	DMG	Profundidade	Nº de Pings	Nº de Células	Satélites	Qual. do sinal GPS	Vel. Abs. Média	Vel. Barco	Vaz. Esquerda	Vaz. Direita	Vaz. Total	Vaz. Corrigida pelo Loop	Perfilagem	Vaz. Superfície	Vaz. Meio	Vaz. Fundo	Direção	
			m	m	m					m/s	m/s	m3/s	m3/s	m3/s	m3/s		m3/s	m3/s	m3/s	graus	
Margem Inicial (1)	1	10:58:53	0,09	0,09	0,67	10	17	0	0	0,077	0,085	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	326,0	
Margem Inicial (2)	2	10:58:54	0,12	0,12	0,67	10	17	0	0	0,027	0,034	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	356,4	
Margem Inicial (3)	3	10:58:55	0,21	0,20	0,69	10	19	0	0	0,064	0,086	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	318,5	
Margem Inicial (4)	4	10:58:56	0,26	0,26	0,70	10	19	0	0	0,025	0,055	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	46,7	
Margem Inicial (5)	5	10:58:57	0,34	0,33	0,68	10	21	0	0	0,063	0,078	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	39,8	
Margem Inicial (6)	6	10:58:58	0,39	0,38	0,76	10	21	0	0	0,062	0,056	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	65,7	
Margem Inicial (7)	7	10:58:59	0,44	0,43	0,75	10	22	0	0	0,055	0,048	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	73,0	
Margem Inicial (8)	8	10:59:00	0,49	0,48	0,75	10	22	0	0	0,072	0,051	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	57,6	
Margem Inicial (9)	9	10:59:01	0,54	0,52	0,80	10	24	0	0	0,099	0,042	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	68,1	
Margem Inicial (10)	10	10:59:02	0,59	0,58	0,80	10	24	0	0	0,109	0,058	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	63,0	
Margem Inicial (11)	11	10:59:03	0,64	0,61	0,80	10	25	0	0	0,087	0,046	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	74,5	
Margem Inicial (12)	12	10:59:04	0,71	0,68	0,80	10	26	0	0	0,077	0,073	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	53,5	
Margem Inicial (13)	13	10:59:05	0,77	0,74	0,80	10	26	0	0	0,094	0,062	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	52,9	
Margem Inicial (14)	14	10:59:06	0,81	0,78	0,81	10	26	0	0	0,133	0,040	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	64,3	
Margem Inicial (15)	15	10:59:07	0,85	0,81	0,81	10	27	0	0	0,129	0,040	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	64,7	
Margem Inicial (16)	16	10:59:08	0,89	0,84	0,81	10	27	0	0	0,166	0,034	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	59,3	
Margem Inicial (17)	17	10:59:09	0,93	0,87	0,81	10	27	0	0	0,132	0,038	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	59,2	
Margem Inicial (18)	18	10:59:10	0,96	0,90	0,81	10	27	0	0	0,126	0,038	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	55,3	
Margem Inicial (19)	19	10:59:11	1,00	0,93	0,81	10	27	0	0	0,126	0,036	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	49,4	
Margem Inicial (20)	20	10:59:12	1,02	0,95	0,81	10	27	0	0	0,152	0,017	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	58,1	
Margem Inicial (21)	21	10:59:13	1,04	0,97	0,81	10	27	0	0	0,149	0,020	0,00	0,00	0,000	--	3MHz HD	0,00	0,00	0,00	55,0	
Em Trânsito	22	10:59:14	0,02	0,02	0,82	10	27	0	0	0,125	0,023	0,00	0,04	0,043	--	3MHz HD	0,00	0,00	0,00	50,9	
Em Trânsito	23	10:59:15	0,06	0,06	0,82	10	27	0	0	0,116	0,036	0,00	0,04	0,050	--	3MHz HD	0,00	0,00	0,00	44,3	
Em Trânsito	24	10:59:16	0,07	0,07	0,81	10	27	0	0	0,121	0,012	0,00	0,05	0,054	--	3MHz HD	0,00	0,00	0,00	61,3	
Em Trânsito	25	10:59:17	0,10	0,07	0,81	9	28	0	0	0,152	0,031	0,00	0,05	0,059	--	3MHz HD	0,00	0,01	0,00	64,4	
Em Trânsito	26	10:59:18	0,15	0,10	0,82	10	27	0	0	0,163	0,050	0,00	0,04	0,056	--	3MHz HD	0,00	0,01	0,00	68,9	
Em Trânsito	27	10:59:19	0,23	0,18	0,83	10	27	0	0	0,150	0,077	0,00	0,04	0,057	--	3MHz HD	0,00	0,01	0,00	64,0	
Em Trânsito	28	10:59:20	0,34	0,28	0,84	10	28	0	0	0,121	0,115	0,00	0,04	0,072	--	3MHz HD	0,01	0,02	0,00	45,8	
Em Trânsito	29	10:59:21	0,81	0,73	0,86	10	28	0	0	0,164	0,463	0,00	0,05	0,134	--	3MHz HD	0,02	0,06	0,01	30,7	
Em Trânsito	30	10:59:22	1,49	1,42	0,92	15	5	0	0	0,135	0,688	0,00	0,05	0,183	--	3MHz IC	0,03	0,08	0,02	20,5	
Em Trânsito	31	10:59:23	2,08	1,99	0,96	15	6	0	0	0,341	0,583	0,00	0,05	0,371	--	3MHz IC	0,08	0,21	0,04	91,0	
Em Trânsito	32	10:59:24	2,66	2,57	0,99	11	6	0	0	0,136	0,583	0,00	0,05	0,386	--	3MHz IC	0,08	0,22	0,04	4,8	
Em Trânsito	33	10:59:25	3,24	3,16	1,02	8	34	0	0	0,112	0,583	0,00	0,05	0,374	--	3MHz HD	0,08	0,21	0,04	342,7	
Em Trânsito	34	10:59:26	3,83	3,74	1,03	7	37	0	0	0,163	0,583	0,00	0,05	0,399	--	3MHz HD	0,08	0,23	0,04	8,2	
Em Trânsito	35	10:59:27	4,41	4,32	1,07	7	36	0	0	0,204	0,583	0,00	0,05	0,428	--	3MHz HD	0,09	0,25	0,05	6,2	
Em Trânsito	36	10:59:28	5,88	4,38	1,09	7	39	0	0	0,961	1,470	0,00	0,05	0,324	--	3MHz HD	0,07	0,17	0,04	248,5	
Em Trânsito	37	10:59:29	6,66	5,10	1,12	7	35	0	0	0,177	0,780	0,00	0,05	0,470	--	3MHz HD	0,09	0,26	0,06	53,7	
Em Trânsito	38	10:59:30	7,45	5,88	1,12	7	12	0	0	0,198	0,786	0,00	0,05	0,605	--	1MHz HD	0,12	0,35	0,08	88,4	
Em Trânsito	39	10:59:31	8,47	6,90	1,18	11	8	0	0	0,316	1,024	0,00	0,05	0,940	--	3MHz IC	0,19	0,58	0,12	87,7	
Em Trânsito	40	10:59:32	9,65	8,06	1,23	7	14	0	0	0,243	1,178	0,00	0,05	1,293	--	1MHz HD	0,26	0,83	0,15	67,6	
Em Trânsito	41	10:59:33	11,04	9,44	1,32	7	15	0	0	0,082	1,394	0,00	0,05	1,443	--	1MHz HD	0,29	0,93	0,17	43,0	
Em Trânsito	42	10:59:34	12,47	10,86	1,45	7	16	0	0	0,267	1,427	0,00	0,05	1,945	--	1MHz HD	0,38	1,28	0,24	75,0	
Em Trânsito	43	10:59:35	14,07	12,46	1,68	7	18	0	0	1,046	1,601	0,00	0,05	2,225	--	1MHz HD	0,43	1,46	0,28	329,7	
Em Trânsito	44	10:59:36	15,79	14,18	2,00	11	14	0	0	0,273	1,724	0,00	0,05	3,167	--	3MHz IC	0,53	2,15	0,43	52,2	
Em Trânsito	45	10:59:37	17,56	15,95	2,56	23	18	0	0	0,332	1,769	0,00	0,05	4,639	--	3MHz IC	0,67	3,24	0,68	67,5	
Em Trânsito	46	10:59:38	19,34	17,72	3,24	23	23	0	0	0,330	1,774	0,00	0,05	6,475	--	3MHz IC	0,80	4,62	1,01	72,5	
Em Trânsito	47	10:59:39	21,16	19,54	3,89	23	13	0	0	0,296	1,823	0,00	0,05	8,552	--	3MHz IC	0,95	6,09	1,45	64,2	
Em Trânsito	48	10:59:40	22,95	21,33	4,44	23	16	0	0	0,318	1,791	0,00	0,05	10,924	--	3MHz IC	1,11	7,90	1,87	78,0	
