Etapa	Vertical	Hora	Trajeto	DMG	Profundidade	Nº de Pings	Nº de Células	Satélites	Qual. do sinal GPS	Vel. Abs. Média	Vel. Barco	Vaz. Esquerda	Vaz. Direita	Vaz. Total	Vaz. Corrigida pelo Loop	
			m	m	m					m/s	m/s	m3/s	m3/s	m3/s	m3/s	
Margem Inicial (1)	1	10:26:00	0,06	0,06	1,33	10	40	0	0	0,166	0,056	0,00	0,00	0,000	--	
Margem Inicial (2)	2	10:26:01	0,15	0,06	1,32	8	45	0	0	0,143	0,097	0,00	0,00	0,000	--	
Margem Inicial (3)	3	10:26:02	0,20	0,11	1,35	10	45	0	0	0,127	0,051	0,00	0,00	0,000	--	
Margem Inicial (4)	4	10:26:03	0,29	0,18	1,35	10	47	0	0	0,142	0,085	0,00	0,00	0,000	--	
Margem Inicial (5)	5	10:26:04	0,30	0,18	1,35	10	47	0	0	0,149	0,013	0,00	0,00	0,000	--	
Margem Inicial (6)	6	10:26:05	0,49	0,18	1,35	10	46	0	0	0,198	0,185	0,00	0,00	0,000	--	
Margem Inicial (7)	7	10:26:06	0,60	0,23	1,34	10	46	0	0	0,146	0,115	0,00	0,00	0,000	--	
Margem Inicial (8)	8	10:26:07	0,71	0,26	1,33	10	43	0	0	0,063	0,108	0,00	0,00	0,000	--	
Margem Inicial (9)	9	10:26:08	0,88	0,37	1,35	10	46	0	0	0,095	0,168	0,00	0,00	0,000	--	
Margem Inicial (10)	10	10:26:09	0,94	0,36	1,37	10	47	0	0	0,236	0,058	0,00	0,00	0,000	--	
Margem Inicial (11)	11	10:26:10	0,94	0,36	1,35	8	47	0	0	0,075	0,007	0,00	0,00	0,000	--	
Margem Inicial (12)	12	10:26:11	1,00	0,31	1,35	10	47	0	0	0,069	0,057	0,00	0,00	0,000	--	
Margem Inicial (13)	13	10:26:12	1,09	0,25	1,35	8	46	0	0	0,102	0,088	0,00	0,00	0,000	--	
Margem Inicial (14)	14	10:26:13	1,21	0,20	1,32	10	41	0	0	0,136	0,116	0,00	0,00	0,000	--	
Margem Inicial (15)	15	10:26:14	1,28	0,13	1,31	10	45	0	0	0,117	0,079	0,00	0,00	0,000	--	
Em Trânsito	16	10:26:15	0,06	0,06	1,30	10	34	0	0	0,105	0,058	0,07	0,00	0,069	--	
Em Trânsito	17	10:26:16	0,16	0,15	1,30	8	42	0	0	0,118	0,105	-0,04	0,00	-0,042	--	
Em Trânsito	18	10:26:17	0,31	0,27	1,31	8	46	0	0	0,201	0,147	0,07	0,00	0,068	--	
Em Trânsito	19	10:26:18	0,49	0,46	1,34	7	46	0	0	0,216	0,184	0,06	0,00	0,085	--	
Em Trânsito	20	10:26:19	0,88	0,81	1,38	7	48	0	0	0,277	0,383	0,12	0,00	0,100	--	
Em Trânsito	21	10:26:20	1,60	1,53	1,45	7	53	0	0	0,636	0,723	0,13	0,00	0,201	--	
Em Trânsito	22	10:26:21	2,12	2,04	1,46	7	54	0	0	0,539	0,517	0,14	0,00	0,217	--	
Em Trânsito	23	10:26:22	2,62	2,54	1,50	7	55	0	0	0,159	0,502	0,14	0,00	0,300	--	
Em Trânsito	24	10:26:23	3,12	3,03	1,51	7	56	0	0	0,177	0,496	0,13	0,00	0,315	--	
Em Trânsito	25	10:26:24	3,39	3,27	1,53	7	57	0	0	0,237	0,277	0,12	0,00	0,375	--	
Em Trânsito	26	10:26:25	3,59	3,20	1,52	7	56	0	0	0,125	0,199	0,11	0,00	0,340	--	
Em Trânsito	27	10:26:26	3,97	2,83	1,49	7	55	0	0	0,103	0,382	0,10	0,00	0,310	--	
Em Trânsito	28	10:26:27	4,47	2,34	1,48	11	10	0	0	0,378	0,501	0,11	0,00	0,069	--	
Em Trânsito	29	10:26:28	5,29	1,89	1,49	11	10	0	0	0,103	0,811	0,17	0,00	0,209	--	
Em Trânsito	30	10:26:29	6,18	2,40	1,53	11	10	0	0	0,514	0,892	0,23	0,00	0,956	--	
Em Trânsito	31	10:26:30	7,24	3,22	1,62	11	11	0	0	0,262	1,064	0,25	0,00	1,426	--	
Em Trânsito	32	10:26:31	8,51	4,42	1,80	7	21	0	0	0,220	1,272	0,25	0,00	1,935	--	
Em Trânsito	33	10:26:32	9,75	5,62	2,00	7	24	0	0	0,194	1,233	0,25	0,00	2,408	--	
Em Trânsito	34	10:26:33	11,17	7,00	2,22	7	27	0	0	0,192	1,427	0,25	0,00	2,437	--	
Em Trânsito	35	10:26:34	12,42	8,24	2,75	23	18	0	0	0,234	1,245	0,25	0,00	3,209	--	
Em Trânsito	36	10:26:35	13,66	9,48	3,06	25	23	0	0	0,369	1,245	0,25	0,00	4,608	--	
Em Trânsito	37	10:26:36	14,99	10,80	3,22	27	12	0	0	0,322	1,325	0,25	0,00	5,934	--	
Em Trânsito	38	10:26:37	16,31	12,09	3,48	26	13	0	0	0,439	1,322	0,25	0,00	7,948	--	
Em Trânsito	39	10:26:38	17,70	13,46	3,91	26	14	0	0	0,338	1,388	0,25	0,00	9,764	--	
Em Trânsito	40	10:26:39	19,14	14,88	4,29	26	16	0	0	0,384	1,440	0,25	0,00	11,889	--	
Em Trânsito	41	10:26:40	20,45	16,17	4,70	26	17	0	0	0,430	1,312	0,25	0,00	14,477	--	
Em Trânsito	42	10:26:41	21,64	17,33	5,09	25	19	0	0	0,497	1,190	0,25	0,00	17,353	--	
Em Trânsito	43	10:26:42	22,86	18,54	5,45	26	20	0	0	0,515	1,215	0,25	0,00	20,723	--	
Em Trânsito	44	10:26:43	24,06	19,74	5,99	25	10	0	0	0,467	1,206	0,25	0,00	24,077	--	
