Etapa	Vertical	Hora	Trajeto	DMG	Profundidade	Nº de Pings	Nº de Células	Satélites	Qual. do sinal GPS	Vel. Abs. Média	Vel. Barco	Vaz. Esquerda	Vaz. Direita	Vaz. Total	Vaz. Corrigida pelo Loop	
			m	m	m					m/s	m/s	m3/s	m3/s	m3/s	m3/s	
Margem Inicial (1)	1	12:05:41	0,00	0,00	0,58	10	16	7	1	0,002	0,000	0,00	0,00	0,000	--	
Margem Inicial (2)	2	12:05:42	0,05	0,05	0,61	10	14	7	1	0,049	0,048	0,00	0,00	0,000	--	
Margem Inicial (3)	3	12:05:43	0,07	0,06	0,61	10	15	7	1	0,034	0,021	0,00	0,00	0,000	--	
Margem Inicial (4)	4	12:05:44	0,15	0,12	0,57	10	16	7	1	0,031	0,077	0,00	0,00	0,000	--	
Margem Inicial (5)	5	12:05:45	0,21	0,16	0,59	10	18	7	1	0,071	0,062	0,00	0,00	0,000	--	
Margem Inicial (6)	6	12:05:46	0,57	0,50	0,52	10	18	7	1	0,373	0,362	0,00	0,00	0,000	--	
Margem Inicial (7)	7	12:05:47	0,64	0,54	0,82	10	23	7	1	0,052	0,070	0,00	0,00	0,000	--	
Margem Inicial (8)	8	12:05:48	0,71	0,59	0,85	10	20	7	1	0,072	0,070	0,00	0,00	0,000	--	
Margem Inicial (9)	9	12:05:49	0,75	0,60	0,78	10	22	7	1	0,021	0,040	0,00	0,00	0,000	--	
Margem Inicial (10)	10	12:05:50	0,82	0,67	0,57	10	20	7	1	0,076	0,071	0,00	0,00	0,000	--	
Margem Inicial (11)	11	12:05:51	0,93	0,78	0,63	10	22	7	1	0,127	0,111	0,00	0,00	0,000	--	
Margem Inicial (12)	12	12:05:52	0,95	0,77	0,63	10	22	7	1	0,011	0,019	0,00	0,00	0,000	--	
Margem Inicial (13)	13	12:05:53	1,09	0,75	0,57	10	20	7	1	0,119	0,138	0,00	0,00	0,000	--	
Margem Inicial (14)	14	12:05:54	1,16	0,77	0,59	10	18	7	1	0,035	0,071	0,00	0,00	0,000	--	
Margem Inicial (15)	15	12:05:55	1,20	0,77	0,57	10	20	7	1	0,016	0,043	0,00	0,00	0,000	--	
Margem Inicial (16)	16	12:05:56	1,28	0,75	0,58	10	20	7	1	0,070	0,074	0,00	0,00	0,000	--	
Margem Inicial (17)	17	12:05:57	1,34	0,73	0,60	10	22	7	1	0,028	0,067	0,00	0,00	0,000	--	
Margem Inicial (18)	18	12:05:58	1,41	0,77	0,58	10	20	7	1	0,034	0,067	0,00	0,00	0,000	--	
Em Trânsito	19	12:05:59	0,23	0,23	0,57	10	20	7	1	0,249	0,233	0,00	0,00	0,016	--	
Em Trânsito	20	12:06:00	0,30	0,30	0,63	10	21	7	1	0,041	0,067	0,00	0,00	0,017	--	
Em Trânsito	21	12:06:01	0,56	0,50	0,68	10	23	7	1	0,054	0,265	0,00	0,00	0,010	--	
Em Trânsito	22	12:06:02	0,85	0,76	1,11	10	27	7	1	0,053	0,283	0,00	0,00	0,012	--	
Em Trânsito	23	12:06:03	1,17	1,08	1,15	10	30	7	1	0,049	0,317	0,00	0,00	0,029	--	
Em Trânsito	24	12:06:04	1,55	1,46	1,25	10	43	7	1	0,059	0,385	0,00	0,00	0,057	--	
Em Trânsito	25	12:06:05	1,98	1,89	1,32	7	47	7	1	0,064	0,433	0,00	0,00	0,086	--	
Em Trânsito	26	12:06:06	2,44	2,30	1,33	11	9	7	1	0,247	0,455	0,00	0,00	0,234	--	
Em Trânsito	27	12:06:07	2,92	2,74	1,43	7	51	7	1	0,152	0,484	0,00	-0,01	0,300	--	
Em Trânsito	28	12:06:08	3,25	3,05	1,52	7	55	8	1	0,056	0,326	0,00	-0,01	0,327	--	
Em Trânsito	29	12:06:09	3,39	2,90	1,55	7	57	9	1	0,161	0,145	0,00	-0,01	0,292	--	
Em Trânsito	30	12:06:10	3,59	2,76	1,53	7	56	9	1	0,115	0,200	0,00	-0,01	0,287	--	
Em Trânsito	31	12:06:11	4,10	2,49	1,52	7	53	9	1	0,143	0,508	0,00	0,00	0,258	--	
Em Trânsito	32	12:06:12	4,48	2,21	1,51	11	10	9	1	0,264	0,376	0,00	0,00	0,199	--	
Em Trânsito	33	12:06:13	4,95	2,35	1,50	11	10	9	1	0,103	0,472	0,00	0,00	0,204	--	
Em Trânsito	34	12:06:14	5,35	2,63	1,52	7	56	9	1	0,130	0,403	0,00	0,01	0,204	--	
Em Trânsito	35	12:06:15	5,74	2,85	1,53	11	11	9	1	0,129	0,383	0,00	0,01	0,158	--	
Em Trânsito	36	12:06:16	6,23	3,31	1,54	7	18	9	1	0,137	0,497	0,00	0,01	0,260	--	
Em Trânsito	37	12:06:17	6,97	4,04	1,59	7	19	9	1	0,196	0,737	0,00	0,01	0,455	--	
Em Trânsito	38	12:06:18	7,77	4,83	1,63	7	20	9	1	0,204	0,804	0,00	0,01	0,716	--	
Em Trânsito	39	12:06:19	8,74	5,77	1,67	7	20	9	1	0,216	0,965	0,00	0,01	1,062	--	
Em Trânsito	40	12:06:20	9,85	6,88	1,72	7	21	9	1	0,163	1,116	0,00	0,01	1,369	--	
Em Trânsito	41	12:06:21	11,10	8,13	1,76	7	21	8	1	0,215	1,250	0,00	0,01	1,757	--	
Em Trânsito	42	12:06:22	12,38	9,39	1,81	11	13	8	1	0,399	1,274	0,00	0,01	2,035	--	
Em Trânsito	43	12:06:23	13,63	10,62	1,86	7	23	8	1	0,258	1,250	0,00	0,01	2,600	--	
Em Trânsito	44	12:06:24	14,90	11,88	1,92	23	14	8	1	0,290	1,274	0,00	0,01	3,202	--	
Em Trânsito	45	12:06:25	16,13	13,06	2,00	23	15	8	1	0,383	1,230	0,00	0,01	4,138	--	
Em Trânsito	46	12:06:26	17,34	14,25	2,09	23	15	8	1	0,340	1,212	0,00	0,01	4,964	--	
Em Trânsito	47	12:06:27	18,48	15,32	2,21	25	16	8	1	0,367	1,133	0,00	0,01	5,806	--	
Em Trânsito	48	12:06:28	19,60	16,37	2,36	25	18	8	1	0,482	1,125	0,00	0,00	7,008	--	
Em Trânsito	49	12:06:29	20,76	17,47	2,58	27	19	8	1	0,405	1,157	0,00	0,00	8,183	--	
Em Trânsito	50	12:06:30	21,85	18,53	2,80	27	21	9	1	0,398	1,095	0,00	0,00	9,240	--	
Em Trânsito	51	12:06:31	23,05	19,70	3,13	26	11	9	1	0,486	1,196	0,00	0,00	10,991	--	
Em Trânsito	52	12:06:32	24,30	20,90	3,62	26	12	9	1	0,502	1,246	0,00	0,00	13,253	--	
Em Trânsito	53	12:06:33	25,51	22,06	4,04	26	14	9	1	0,517	1,213	0,00	0,00	15,783	--	
Em Trânsito	54	12:06:34	26,74	23,25	4,40	26	16	9	1	0,525	1,231	0,00	0,00	18,620	--	
Em Trânsito	55	12:06:35	27,94	24,41	4,72	25	18	9	1	0,554	1,202	0,00	0,00	21,726	--	
Em Trânsito	56	12:06:36	29,18	25,60	5,15	26	19	9	1	0,594	1,239	0,00	0,00	25,510	--	
Em Trânsito	57	12:06:37	30,33	26,72	5,55	25	20	9	1	0,630	1,151	0,00	0,00	29,461	--	
Em Trânsito	58	12:06:38	31,52	27,87	6,03	26	10	9	1	0,603	1,193	0,00	0,00	33,762	--	
Em Trânsito	59	12:06:39	32,76	29,09	6,34	25	11	9	1	0,498	1,240	0,00	0,00	37,666	--	
Em Trânsito	60	12:06:40	34,01	30,29	6,74	11	9	9	1	0,502	1,240	0,00	0,00	41,841	--	
Em Trânsito	61	12:06:41	35,15	31,38	7,15	11	10	9	1	0,580	1,142	0,00	0,00	46,568	--	
Em Trânsito	62	12:06:42	36,39	32,58	7,53	9	10	9	1	0,595	1,242	0,00	0,00	51,993	--	
Em Trânsito	63	12:06:43	37,61	33,78	7,80	11	11	9	1	0,628	1,226	0,00	0,00	57,967	--	
Em Trânsito	64	12:06:44	38,82	34,95	8,06	11	12	9	1	0,589	1,201	0,00	0,00	63,647	--	
Em Trânsito	65	12:06:45	40,03	36,13	8,38	11	12	9	1	0,633	1,215	0,00	0,00	70,079	--	
Em Trânsito	66	12:06:46	41,24	37,30	8,62	11	13	9	1	0,621	1,207	0,00	0,00	76,308	--	
Em Trânsito	67	12:06:47	42,45	38,46	8,87	11	13	9	1	0,663	1,215	0,00	0,00	83,447	--	
Em Trânsito	68	12:06:48	43,66	39,64	8,93	11	13	8	1	0,580	1,205	0,00	0,00	89,592	--	
Em Trânsito	69	12:06:49	44,90	40,82	9,12	11	14	8	1	0,742	1,245	0,00	0,00	97,960	--	
Em Trânsito	70	12:06:50	46,16	42,01	9,25	11	14	8	1	0,683	1,259	0,00	0,00	105,810	--	
Em Trânsito	71	12:06:51	47,40	43,19	9,34	11	14	8	1	0,688	1,235	0,00	0,00	113,707	--	
Em Trânsito	72	12:06:52	48,67	44,41	9,43	11	15	8	1	0,702	1,272	0,00	0,00	122,126	--	
Em Trânsito	73	12:06:53	50,03	45,72	9,57	11	15	8	1	0,610	1,362	0,00	0,00	130,064	--	
Em Trânsito	74	12:06:54	51,42	47,02	9,66	11	15	8	1	0,754	1,392	0,00	0,00	139,818	--	
Em Trânsito	75	12:06:55	52,77	48,29	9,81	11	15	8	1	0,722	1,351	0,00	0,00	149,329	--	
Em Trânsito	76	12:06:56	54,12	49,54	9,87	10	15	8	1	0,766	1,346	0,00	0,00	159,429	--	
Em Trânsito	77	12:06:57	55,51	50,84	9,93	11	16	8	1	0,773	1,388	0,00	0,00	169,772	--	
Em Trânsito	78	12:06:58	56,87	52,10	9,99	11	16	9	1	0,797	1,367	0,00	0,00	180,105	--	
Em Trânsito	79	12:06:59	58,23	53,36	10,06	11	16	9	1	0,765	1,356	0,00	0,00	190,188	--	
Em Trânsito	80	12:07:00	59,66	54,74	10,15	8	16	8	1	0,806	1,427	0,00	0,00	201,596	--	
Em Trânsito	81	12:07:01	61,10	56,12	10,16	11	16	8	1	0,820	1,441	0,00	0,00	213,557	--	
Em Trânsito	82	12:07:02	62,54	57,52	10,20	10	16	8	1	0,691	1,437	0,00	0,00	223,483	--	
Em Trânsito	83	12:07:03	63,95	58,89	10,24	11	16	8	1	0,811	1,411	0,00	0,00	235,129	--	
Em Trânsito	84	12:07:04	65,28	60,19	10,25	11	16	8	1	0,696	1,329	0,00	0,00	244,541	--	
Em Trânsito	85	12:07:05	66,70	61,58	10,33	11	16	8	1	0,753	1,428	0,00	0,00	255,629	--	
Em Trânsito	86	12:07:06	68,13	62,98	10,33	10	16	8	1	0,796	1,422	0,00	0,00	267,307	--	
Em Trânsito	87	12:07:07	69,51	64,31	10,37	11	16	8	1	0,834	1,385	0,00	0,00	279,276	--	
Em Trânsito	88	12:07:08	70,99	65,75	10,44	11	16	8	1	0,697	1,480	0,00	0,00	289,961	--	
Em Trânsito	89	12:07:09	72,43	67,15	10,55	11	16	8	1	0,798	1,437	0,00	0,00	302,027	--	
Em Trânsito	90	12:07:10	73,87	68,56	10,63	11	17	8	1	0,736	1,439	0,00	0,00	313,226	--	
Em Trânsito	91	12:07:11	75,34	70,02	10,61	7	8	8	1	0,741	1,468	0,00	0,00	324,698	--	
Em Trânsito	92	12:07:12	76,75	71,40	10,59	7	8	8	1	0,854	1,410	0,00	0,00	337,376	--	
Em Trânsito	93	12:07:13	78,19	72,81	10,58	7	8	8	1	0,880	1,448	0,00	0,00	350,762	--	
Em Trânsito	94	12:07:14	79,60	74,18	10,64	7	7	8	1	0,780	1,404	0,00	0,00	362,377	--	
Em Trânsito	95	12:07:15	80,96	75,51	10,55	7	8	8	1	0,792	1,360	0,00	0,00	373,739	--	
Em Trânsito	96	12:07:16	82,24	76,77	10,58	7	8	8	1	0,743	1,287	0,00	0,00	383,819	--	
Em Trânsito	97	12:07:17	83,55	78,05	10,62	7	8	8	1	0,816	1,304	0,00	0,00	395,111	--	
Em Trânsito	98	12:07:18	84,88	79,36	10,64	7	8	9	1	0,789	1,329	0,00	0,00	406,085	--	
Em Trânsito	99	12:07:19	86,12	80,60	10,60	7	8	9	1	0,747	1,241	0,00	0,00	415,909	--	
Em Trânsito	100	12:07:20	87,38	81,84	10,63	7	8	9	1	0,817	1,259	0,00	0,00	426,717	--	
Em Trânsito	101	12:07:21	88,52	82,98	10,69	7	8	9	1	0,942	1,145	0,00	0,00	438,177	--	
Em Trânsito	102	12:07:22	89,68	84,14	10,70	7	8	9	1	0,898	1,159	0,00	0,00	449,075	--	
Em Trânsito	103	12:07:23	90,82	85,25	10,75	7	8	9	1	0,793	1,141	0,00	0,00	458,596	--	
Em Trânsito	104	12:07:24	91,88	86,29	10,81	7	8	9	1	0,816	1,064	0,00	0,00	467,815	--	
Em Trânsito	105	12:07:25	92,96	87,33	10,89	7	8	9	1	0,693	1,072	0,00	0,00	475,582	--	
Em Trânsito	106	12:07:26	94,10	88,47	10,93	7	8	9	1	0,851	1,147	0,00	0,00	486,210	--	
Em Trânsito	107	12:07:27	95,16	89,52	10,97	7	8	9	1	0,933	1,053	0,00	0,00	496,855	--	
Em Trânsito	108	12:07:28	96,19	90,55	10,98	7	8	9	1	0,895	1,031	0,00	0,00	506,918	--	
Em Trânsito	109	12:07:29	97,27	91,62	11,00	7	8	9	1	0,826	1,080	0,00	0,00	516,717	--	
