Etapa	Vertical	Hora	Trajeto	DMG	Profundidade	Nº de Pings	Nº de Células	Satélites	Qual. do sinal GPS	Vel. Abs. Média	Vel. Barco	Vaz. Esquerda	Vaz. Direita	Vaz. Total	Vaz. Corrigida pelo Loop	
			m	m	m					m/s	m/s	m3/s	m3/s	m3/s	m3/s	
Margem Inicial (1)	1	11:45:10	0,01	0,01	0,81	9	27	9	1	0,028	0,008	0,00	0,00	0,000	--	
Margem Inicial (2)	2	11:45:11	0,02	0,02	0,97	10	29	9	1	0,026	0,011	0,00	0,00	0,000	--	
Margem Inicial (3)	3	11:45:12	0,03	0,02	0,92	10	29	9	1	0,034	0,006	0,00	0,00	0,000	--	
Margem Inicial (4)	4	11:45:13	0,07	0,02	0,93	10	25	9	1	0,080	0,039	0,00	0,00	0,000	--	
Margem Inicial (5)	5	11:45:14	0,12	0,04	0,96	10	24	9	1	0,013	0,052	0,00	0,00	0,000	--	
Margem Inicial (6)	6	11:45:15	0,15	0,03	0,94	10	22	9	1	0,073	0,036	0,00	0,00	0,000	--	
Margem Inicial (7)	7	11:45:16	0,24	0,07	0,85	10	23	9	1	0,065	0,085	0,00	0,00	0,000	--	
Margem Inicial (8)	8	11:45:17	0,25	0,07	0,89	10	25	9	1	0,041	0,016	0,00	0,00	0,000	--	
Margem Inicial (9)	9	11:45:18	0,30	0,12	0,86	10	25	9	1	0,036	0,050	0,00	0,00	0,000	--	
Margem Inicial (10)	10	11:45:19	0,39	0,05	0,75	10	20	9	1	0,093	0,089	0,00	0,00	0,000	--	
Margem Inicial (11)	11	11:45:20	0,44	0,04	0,74	10	19	9	1	0,048	0,043	0,00	0,00	0,000	--	
Margem Inicial (12)	12	11:45:21	0,47	0,07	0,93	10	19	9	1	0,032	0,031	0,00	0,00	0,000	--	
Margem Inicial (13)	13	11:45:22	0,48	0,05	0,92	10	21	9	1	0,015	0,016	0,00	0,00	0,000	--	
Margem Inicial (14)	14	11:45:23	0,51	0,04	0,93	10	21	9	1	0,024	0,027	0,00	0,00	0,000	--	
Margem Inicial (15)	15	11:45:24	0,61	0,12	0,93	10	19	9	1	0,101	0,103	0,00	0,00	0,000	--	
Margem Inicial (16)	16	11:45:25	0,64	0,14	0,95	10	20	9	1	0,029	0,023	0,00	0,00	0,000	--	
Margem Inicial (17)	17	11:45:26	0,66	0,16	0,92	10	22	9	1	0,034	0,026	0,00	0,00	0,000	--	
Em Trânsito	18	11:45:27	0,07	0,07	0,92	10	24	9	1	0,073	0,071	0,00	0,02	0,021	--	
Em Trânsito	19	11:45:28	0,12	0,12	0,94	10	22	9	1	0,038	0,045	0,00	0,02	0,023	--	
Em Trânsito	20	11:45:29	0,23	0,23	0,93	10	26	9	1	0,090	0,110	0,00	0,02	0,023	--	
Em Trânsito	21	11:45:30	0,29	0,27	0,91	10	30	9	1	0,001	0,068	0,00	0,03	0,030	--	
Em Trânsito	22	11:45:31	0,69	0,66	0,91	10	32	9	1	0,030	0,400	0,00	0,03	0,036	--	
Em Trânsito	23	11:45:32	1,21	1,17	1,08	7	38	9	1	0,011	0,511	0,00	0,03	0,032	--	
Em Trânsito	24	11:45:33	1,77	1,73	1,18	11	7	9	1	0,089	0,569	0,00	0,03	-0,029	--	
Em Trânsito	25	11:45:34	2,16	2,11	1,27	7	46	9	1	0,105	0,384	0,00	0,03	-0,078	--	
Em Trânsito	26	11:45:35	2,52	2,44	1,41	7	50	9	1	0,128	0,362	0,00	0,03	-0,141	--	
Em Trânsito	27	11:45:36	3,01	2,92	1,45	7	55	9	1	0,236	0,490	0,00	0,03	-0,090	--	
Em Trânsito	28	11:45:37	3,58	3,50	1,52	7	58	9	1	0,070	0,574	0,00	0,03	-0,141	--	
Em Trânsito	29	11:45:38	4,08	3,99	1,58	7	61	9	1	0,097	0,492	0,00	0,03	-0,216	--	
Em Trânsito	30	11:45:39	4,50	4,40	1,60	7	62	9	1	0,038	0,418	0,00	0,03	-0,223	--	
Em Trânsito	31	11:45:40	4,94	4,82	1,62	7	64	9	1	0,014	0,442	0,00	0,03	-0,229	--	
Em Trânsito	32	11:45:41	5,81	5,45	1,65	11	12	9	1	0,260	0,877	0,00	0,04	-0,518	--	
Em Trânsito	33	11:45:42	6,98	6,16	1,68	7	20	9	1	0,165	1,170	0,00	0,04	-0,627	--	
Em Trânsito	34	11:45:43	8,20	7,20	1,73	7	21	9	1	0,061	1,215	0,00	0,04	-0,727	--	
Em Trânsito	35	11:45:44	9,43	8,40	1,77	7	22	9	1	0,042	1,226	0,00	0,04	-0,740	--	
Em Trânsito	36	11:45:45	10,65	9,62	1,83	7	23	10	1	0,114	1,223	0,00	0,04	-0,571	--	
Em Trânsito	37	11:45:46	12,05	11,02	1,88	7	23	10	1	0,129	1,403	0,00	0,04	-0,432	--	
Em Trânsito	38	11:45:47	13,51	12,48	1,97	7	25	10	1	0,058	1,453	0,00	0,04	-0,421	--	
Em Trânsito	39	11:45:48	15,07	14,04	2,10	7	26	10	1	0,061	1,568	0,00	0,04	-0,304	--	
Em Trânsito	40	11:45:49	16,53	15,50	2,29	23	17	10	1	0,100	1,460	0,00	0,04	-0,013	--	
