Etapa	Vertical	Hora	Trajeto	DMG	Profundidade	Nº de Pings	Nº de Células	Satélites	Qual do sinal GPS	Mean Speed	Vel Barco	Vaz Esquerda	Vaz Direita	Total Q	Vaz Corrigida pelo Loop	
			m	m	m					m/s	m/s	m3/s	m3/s	m3/s	m3/s	
Margem Inicial (1)	1	10:58:39	0,11	0,11	1,96	10	54	10	1	0,178	0,110	0,00	0,00	0,000	--	
Margem Inicial (2)	2	10:58:40	0,15	0,07	1,96	10	40	10	1	0,188	0,036	0,00	0,00	0,000	--	
Margem Inicial (3)	3	10:58:41	0,18	0,04	1,96	10	62	10	1	0,223	0,031	0,00	0,00	0,000	--	
Margem Inicial (4)	4	10:58:42	0,19	0,05	1,95	10	41	10	1	0,254	0,018	0,00	0,00	0,000	--	
Margem Inicial (5)	5	10:58:43	0,23	0,08	1,96	10	25	10	1	0,267	0,034	0,00	0,00	0,000	--	
Margem Inicial (6)	6	10:58:44	0,31	0,16	1,95	10	34	10	1	0,251	0,084	0,00	0,00	0,000	--	
Margem Inicial (7)	7	10:58:45	0,34	0,14	1,96	10	62	10	1	0,226	0,024	0,00	0,00	0,000	--	
Margem Inicial (8)	8	10:58:46	0,35	0,13	1,95	10	63	10	1	0,238	0,009	0,00	0,00	0,000	--	
Margem Inicial (9)	9	10:58:47	0,37	0,15	1,96	10	64	10	1	0,215	0,019	0,00	0,00	0,000	--	
Margem Inicial (10)	10	10:58:48	0,38	0,13	1,96	10	65	10	1	0,141	0,016	0,00	0,00	0,000	--	
Margem Inicial (11)	11	10:58:49	0,42	0,10	1,95	10	35	10	1	0,091	0,035	0,00	0,00	0,000	--	
Margem Inicial (12)	12	10:58:50	0,44	0,08	1,95	10	64	10	1	0,107	0,020	0,00	0,00	0,000	--	
Margem Inicial (13)	13	10:58:51	0,44	0,08	1,95	10	49	10	1	0,203	0,008	0,00	0,00	0,000	--	
Margem Inicial (14)	14	10:58:52	0,50	0,03	1,95	10	49	10	1	0,216	0,052	0,00	0,00	0,000	--	
Margem Inicial (15)	15	10:58:53	0,52	0,05	1,95	10	50	10	1	0,137	0,025	0,00	0,00	0,000	--	
Margem Inicial (16)	16	10:58:54	0,55	0,03	1,94	10	64	10	1	0,170	0,027	0,00	0,00	0,000	--	
Margem Inicial (17)	17	10:58:55	0,58	0,05	1,95	10	58	10	1	0,185	0,027	0,00	0,00	0,000	--	
Margem Inicial (18)	18	10:58:56	0,59	0,07	1,94	10	65	10	1	0,148	0,017	0,00	0,00	0,000	--	
Margem Inicial (19)	19	10:58:57	0,63	0,09	1,95	10	44	10	1	0,187	0,038	0,00	0,00	0,000	--	
Em Trânsito	20	10:58:58	0,67	0,09	1,95	10	44	10	1	0,211	0,041	-0,94	0,00	-0,956	--	
Em Trânsito	21	10:58:59	0,70	0,12	1,95	10	45	10	1	0,145	0,031	-1,10	0,00	-1,119	--	
Em Trânsito	22	10:59:00	0,72	0,13	1,94	9	54	10	1	0,136	0,019	-1,03	0,00	-1,056	--	
Em Trânsito	23	10:59:01	0,96	0,22	1,95	12	10	10	1	0,477	0,232	-1,31	0,00	-1,385	--	
Em Trânsito	24	10:59:02	1,19	0,44	1,95	14	10	10	1	0,521	0,232	-1,03	0,00	-1,137	--	
Em Trânsito	25	10:59:03	1,69	0,93	1,94	9	54	10	1	0,660	0,499	-0,87	0,00	-1,019	--	
Em Trânsito	26	10:59:04	1,72	0,96	1,93	10	27	10	1	0,250	0,037	-0,84	0,00	-0,999	--	
Em Trânsito	27	10:59:05	1,86	1,00	1,95	10	25	10	1	0,255	0,135	-0,67	0,00	-0,805	--	
Em Trânsito	28	10:59:06	1,98	1,08	1,95	10	29	10	1	0,262	0,127	-0,54	0,00	-0,648	--	
