Etapa	Vertical	Hora	Trajeto	DMG	Profundidade	Nº de Pings	Nº de Células	Satélites	Qual. do sinal GPS	Mean Speed	Vel. Barco	Vaz. Esquerda	Vaz. Direita	Total Q	Vaz. Corrigida pelo Loop	
			m	m	m					m/s	m/s	m3/s	m3/s	m3/s	m3/s	
Margem Inicial (1)	1	11:50:42	0,10	0,10	0,81	10	19	9	1	0,125	0,101	0,00	0,00	0,000	--	
Margem Inicial (2)	2	11:50:43	0,20	0,20	0,77	11	14	9	1	0,149	0,101	0,00	0,00	0,000	--	
Margem Inicial (3)	3	11:50:44	0,31	0,29	0,76	11	15	9	1	0,021	0,108	0,00	0,00	0,000	--	
Margem Inicial (4)	4	11:50:45	0,48	0,44	0,71	11	17	9	1	0,081	0,172	0,00	0,00	0,000	--	
Margem Inicial (5)	5	11:50:46	0,67	0,62	0,85	11	16	9	1	0,045	0,190	0,00	0,00	0,000	--	
Margem Inicial (6)	6	11:50:47	0,81	0,76	0,85	11	18	9	1	0,108	0,142	0,00	0,00	0,000	--	
Margem Inicial (7)	7	11:50:48	1,07	1,00	0,86	11	21	9	1	0,395	0,258	0,00	0,00	0,000	--	
Margem Inicial (8)	8	11:50:49	1,15	1,06	0,82	11	18	8	1	0,122	0,074	0,00	0,00	0,000	--	
Margem Inicial (9)	9	11:50:50	1,23	1,06	0,80	11	17	8	1	0,085	0,087	0,00	0,00	0,000	--	
Margem Inicial (10)	10	11:50:51	1,57	1,14	0,77	11	17	8	1	0,022	0,334	0,00	0,00	0,000	--	
Margem Inicial (11)	11	11:50:52	1,93	1,15	0,75	11	18	8	1	0,202	0,367	0,00	0,00	0,000	--	
Margem Inicial (12)	12	11:50:53	2,20	1,36	0,75	11	17	8	1	0,075	0,262	0,00	0,00	0,000	--	
Margem Inicial (13)	13	11:50:54	2,57	1,63	0,76	11	18	8	1	0,091	0,369	0,00	0,00	0,000	--	
Margem Inicial (14)	14	11:50:55	2,75	1,82	0,78	11	19	8	1	0,044	0,186	0,00	0,00	0,000	--	
Margem Inicial (15)	15	11:50:56	3,01	2,05	0,76	11	18	8	1	0,045	0,254	0,00	0,00	0,000	--	
Margem Inicial (16)	16	11:50:57	3,14	2,17	0,76	11	18	8	1	0,096	0,132	0,00	0,00	0,000	--	
Margem Inicial (17)	17	11:50:58	3,40	2,42	0,76	11	17	8	1	0,159	0,260	0,00	0,00	0,000	--	
Margem Inicial (18)	18	11:50:59	3,49	2,51	0,74	11	18	8	1	0,048	0,091	0,00	0,00	0,000	--	
Margem Inicial (19)	19	11:51:00	3,55	2,54	0,77	11	16	8	1	0,093	0,058	0,00	0,00	0,000	--	
Em Trânsito	20	11:51:01	3,65	2,60	0,75	11	15	8	1	0,089	0,100	0,02	0,00	0,026	--	
Em Trânsito	21	11:51:02	3,75	2,70	0,71	11	17	8	1	0,028	0,106	0,02	0,00	0,027	--	
Em Trânsito	22	11:51:03	4,09	2,94	0,72	11	15	8	1	0,037	0,336	0,02	0,00	0,032	--	
Em Trânsito	23	11:51:04	4,20	3,02	0,77	11	16	8	1	0,230	0,112	0,01	0,00	0,037	--	
Em Trânsito	24	11:51:05	4,42	3,18	0,76	11	18	8	1	0,055	0,221	0,01	0,00	0,043	--	
Em Trânsito	25	11:51:06	4,74	3,06	0,72	11	17	8	1	0,045	0,318	0,01	0,00	0,028	--	
Em Trânsito	26	11:51:07	5,34	3,00	0,76	11	18	8	1	0,187	0,597	0,00	0,00	0,073	--	
Em Trânsito	27	11:51:08	6,19	2,90	0,78	11	20	8	1	0,223	0,849	-0,02	0,00	0,097	--	
Em Trânsito	28	11:51:09	6,97	3,04	0,88	16	4	8	1	0,227	0,787	-0,03	0,00	0,233	--	
Em Trânsito	29	11:51:10	7,90	3,51	0,97	16	4	8	1	0,174	0,923	-0,04	0,00	0,283	--	
Em Trânsito	30	11:51:11	8,98	4,22	1,12	16	5	8	1	0,282	1,079	-0,04	0,00	-0,016	--	
Em Trânsito	31	11:51:12	10,16	5,26	1,12	15	5	8	1	0,280	1,188	-0,05	0,00	-0,361	--	
Em Trânsito	32	11:51:13	11,45	6,42	1,21	8	10	8	1	0,005	1,291	-0,05	0,00	-0,356	--	
Em Trânsito	33	11:51:14	12,53	7,37	1,30	8	12	8	1	0,292	1,079	-0,05	0,00	-0,617	--	
Em Trânsito	34	11:51:15	13,97	8,78	1,49	8	13	9	1	0,110	1,442	-0,05	0,00	-0,406	--	
Em Trânsito	35	11:51:16	15,51	10,30	1,82	8	15	9	1	0,131	1,537	-0,05	0,00	-0,042	--	
Em Trânsito	36	11:51:17	17,07	11,83	2,38	8	21	9	1	0,210	1,559	-0,05	0,00	0,518	--	
Em Trânsito	37	11:51:18	18,65	13,38	2,62	26	18	9	1	0,297	1,575	-0,05	0,00	1,593	--	
Em Trânsito	38	11:51:19	20,26	14,97	2,82	28	20	9	1	0,299	1,612	-0,05	0,00	2,941	--	
Em Trânsito	39	11:51:20	22,06	16,76	3,03	28	10	9	1	0,276	1,804	-0,05	0,00	4,444	--	
Em Trânsito	40	11:51:21	23,85	18,52	3,26	27	11	9	1	0,296	1,789	-0,05	0,00	6,164	--	
Em Trânsito	41	11:51:22	25,61	20,26	3,51	27	12	9	1	0,313	1,764	-0,05	0,00	8,097	--	
Em Trânsito	42	11:51:23	27,26	21,87	3,79	27	13	9	1	0,366	1,643	-0,05	0,00	10,014	--	
Em Trânsito	43	11:51:24	29,08	23,67	4,25	28	14	9	1	0,366	1,821	-0,05	0,00	12,847	--	
Em Trânsito	44	11:51:25	30,79	25,35	4,70	26	17	9	1	0,447	1,713	-0,05	0,00	16,309	--	
Em Trânsito	45	11:51:26	32,46	27,01	5,03	27	18	9	1	0,478	1,665	-0,05	0,00	20,260	--	
Em Trânsito	46	11:51:27	34,17	28,72	5,55	27	20	9	1	0,274	1,717	-0,05	0,00	22,877	--	
Em Trânsito	47	11:51:28	35,79	30,33	6,03	26	10	9	1	0,516	1,620	-0,05	0,00	27,866	--	
Em Trânsito	48	11:51:29	37,46	32,00	6,52	27	11	9	1	0,614	1,670	-0,05	0,00	34,542	--	
Em Trânsito	49	11:51:30	39,07	33,61	7,14	11	9	9	1	0,649	1,608	-0,05	0,00	41,995	--	
Em Trânsito	50	11:51:31	40,81	35,34	7,94	11	10	9	1	0,834	1,733	-0,05	0,00	53,454	--	
Em Trânsito	51	11:51:32	42,46	37,00	8,64	10	12	9	1	0,837	1,657	-0,05	0,00	65,434	--	
Em Trânsito	52	11:51:33	43,92	38,45	9,22	11	12	9	1	0,653	1,456	-0,05	0,00	74,194	--	
Em Trânsito	53	11:51:34	45,53	40,06	9,75	11	14	9	1	0,652	1,609	-0,05	0,00	84,291	--	
Em Trânsito	54	11:51:35	47,16	41,69	10,19	10	14	9	1	0,748	1,632	-0,05	0,00	96,720	--	
Em Trânsito	55	11:51:36	48,75	43,28	10,66	11	15	9	1	0,856	1,592	-0,05	0,00	111,214	--	
Em Trânsito	56	11:51:37	50,46	44,99	11,13	11	16	9	1	0,849	1,712	-0,05	0,00	127,266	--	
Em Trânsito	57	11:51:38	52,18	46,71	11,55	9	17	9	1	0,940	1,720	-0,05	0,00	145,686	--	
Em Trânsito	58	11:51:39	53,94	48,45	11,94	11	17	9	1	0,880	1,752	-0,05	0,00	163,998	--	
Em Trânsito	59	11:51:40	55,50	50,02	12,09	7	8	9	1	0,847	1,568	-0,05	0,00	179,715	--	
Em Trânsito	60	11:51:41	57,18	51,69	12,08	7	9	9	1	0,896	1,677	-0,05	0,00	197,745	--	
Em Trânsito	61	11:51:42	58,88	53,39	12,08	7	9	9	1	0,960	1,701	-0,05	0,00	217,461	--	
Em Trânsito	62	11:51:43	60,52	55,02	11,97	7	8	9	1	0,928	1,640	-0,05	0,00	235,671	--	
Em Trânsito	63	11:51:44	62,13	56,63	11,79	7	9	9	1	1,017	1,605	-0,05	0,00	254,894	--	
Em Trânsito	64	11:51:45	63,74	58,23	11,82	7	9	9	1	0,840	1,612	-0,05	0,00	270,896	--	
Em Trânsito	65	11:51:46	65,32	59,81	11,90	7	9	9	1	1,104	1,583	-0,05	0,00	291,653	--	
Em Trânsito	66	11:51:47	66,91	61,39	11,92	7	9	9	1	1,003	1,592	-0,05	0,00	310,670	--	
Em Trânsito	67	11:51:48	68,48	62,93	11,84	7	9	9	1	1,029	1,562	-0,05	0,00	329,410	--	
Em Trânsito	68	11:51:49	69,93	64,37	11,87	7	9	9	1	1,131	1,452	-0,05	0,00	348,889	--	
Em Trânsito	69	11:51:50	71,39	65,82	11,90	7	9	9	1	1,013	1,466	-0,05	0,00	366,531	--	
Em Trânsito	70	11:51:51	72,85	67,22	11,93	7	9	9	1	1,079	1,456	-0,05	0,00	384,364	--	
Em Trânsito	71	11:51:52	74,24	68,55	12,08	7	8	9	1	0,920	1,395	-0,05	0,00	399,031	--	
Em Trânsito	72	11:51:53	75,62	69,85	12,23	7	9	9	1	1,034	1,371	-0,05	0,00	415,583	--	
Em Trânsito	73	11:51:54	76,94	71,12	12,33	7	9	9	1	1,024	1,323	-0,05	0,00	431,632	--	
Em Trânsito	74	11:51:55	78,34	72,47	12,24	7	9	9	1	0,918	1,397	-0,05	0,00	446,876	--	
Em Trânsito	75	11:51:56	79,75	73,81	12,21	7	9	9	1	1,072	1,412	-0,05	0,00	464,979	--	
Em Trânsito	76	11:51:57	81,02	75,01	12,39	7	9	9	1	1,056	1,275	-0,05	0,00	480,562	--	
Em Trânsito	77	11:51:58	82,30	76,22	12,58	7	9	9	1	0,892	1,279	-0,05	0,00	494,192	--	
Em Trânsito	78	11:51:59	83,59	77,48	12,41	7	9	9	1	1,048	1,287	-0,05	0,00	510,823	--	
Em Trânsito	79	11:52:00	84,97	78,82	12,12	7	9	9	1	0,983	1,385	-0,05	0,00	526,882	--	
Em Trânsito	80	11:52:01	86,36	80,19	11,97	7	9	9	1	1,089	1,383	-0,05	0,00	544,780	--	
